Period,CPI_Food,CPI_Alcoholic_beverages_and_tobacco,CPI_Clothing_and_footwear,CPI_Housing_and_household_utilities,CPI_Household_contents_and_services,CPI_Health,CPI_Transport,CPI_Communication,CPI_Recreation_and_culture,CPI_Education,CPI_Miscellaneous_goods_and_services,CPI_All_groups,HPI_All_households,HPI_Beneficiary,HPI_Expenditure_quintile_lowest,HPI_Expenditure_quintile_highest,HPI_Maori,HPI_Superannuitant,CEP_All_Groups,PPI_Inputs,PPI_Outputs,LCI_All_Sectors,Employment_Rate,Unemployment_Rate,Weekly_Earnings,Weekly_Median_Rent_Price,Weekly_Mean_Rent_Price,RPI_Flow,RPI_Stock,FPI_Food,FPI_Fruit_and_vegetables,FPI_Meat_poultry_and_fish,FPI_Grocery_food,FPI_Non-alcoholic_beverages,FPI_Restaurant_meals_and_ready-to-eat_food,NZAC_Total_Annual_change,NZAC_Annual_change_Card_transaction_spend,NZAC_Annual_change_Electricity_grid_demand,NZAC_Annual_change_Manufacturing_index,NZAC_Annual_change_New_jobs_posted_online,NZAC_Annual_change_Traffic_index_(heavy),NZAC_Annual_change_Traffic_index_(light),Exports_Cumulative_billion,Imports_Cumulative_billion
2018-03-31,999,1044,988,1022,999,1007,1017,971,1008,947,1024,1011,1043,1055,1049,1039,1050,1042,1524,1113,1130,1162,68,4.4,1212.81,420,450,1435,1406,996,928,997,1006,1005,1018,2.3251,5.5985,-2.2209,54.5001,10.1138,2.6023,4.4959,13.517,14.142
2018-06-30,1007,1056,993,1031,999,1004,1019,951,994,948,1031,1015,1047,1060,1052,1043,1052,1045,1536,1124,1140,1168,67.9,4.6,1210.18,425,448,1448,1419,1002,954,994,999,1025,1030,2.4732,4.9796,3.1897,52.3188,5.3665,3.6684,2.9865,28.712,29.223
2018-09-30,1013,1054,992,1042,1006,1013,1043,934,1003,948,1038,1024,1056,1068,1063,1050,1060,1058,1554,1140,1157,1174,68.3,4,1221.92,435,457,1448,1428,1003,904,998,1016,1027,1037,2.1796,5.3247,1.3019,51.7708,12.6408,2.4129,1.7929,42.276,46.137
2018-12-31,1000,1039,980,1047,998,1018,1056,936,1028,948,1045,1025,1057,1068,1062,1052,1061,1058,1561,1161,1167,1180,67.9,4.3,1235.82,440,465,1472,1437,989,815,1020,1013,986,1042,1.2321,1.6768,-4.5654,55.0908,5.4675,-0.5899,0.045,57.251,63.412
2019-03-31,1012,1088,982,1053,991,1016,1016,935,1016,963,1050,1026,1057,1074,1067,1049,1065,1060,1569,1151,1161,1185,67.6,4.2,1246.75,450,476,1507,1451,1008,904,1006,1020,1026,1048,2.0392,1.7578,3.5207,52.7894,2.7217,0.369,1.8659,14.652,14.856
2019-06-30,1018,1093,990,1060,1016,1021,1023,922,1012,963,1058,1032,1063,1082,1074,1053,1071,1067,1583,1154,1166,1193,67.7,4.1,1252.63,450,475,1504,1465,1007,870,1022,1017,1017,1065,1.0228,1.5258,-1.8989,50.8305,6.1603,-2.4229,-0.5592,30.839,30.177
2019-09-30,1031,1095,984,1073,1015,1025,1027,912,1019,970,1062,1039,1070,1089,1085,1057,1077,1078,1596,1166,1179,1202,67.7,4.2,1256.93,450,475,1508,1475,1025,895,1051,1032,1047,1071,1.1423,2.0756,1.309,48.2978,-0.8668,-0.0118,1.1521,44.179,47.2
2019-12-31,1025,1090,995,1078,1014,1031,1049,898,1035,970,1073,1044,1073,1093,1088,1062,1081,1082,1604,1168,1185,1211,67.6,4,1272.38,465,493,1524,1486,1013,844,1063,1021,1005,1078,2.0879,3.2683,4.9203,49.4398,-3.9265,0.9332,0.0545,59.899,64.366
2020-03-31,1045,1144,994,1088,1008,1033,1031,901,1037,971,1080,1052,1082,1108,1100,1066,1093,1089,1614,1165,1186,1215,67.7,4.2,1281.09,475,499,1539,1501,1041,895,1081,1053,1042,1089,-2.6936,-6.6958,-1.9694,38.4599,-31.1645,-9.2545,-18.6611,15.381,14.5
2020-06-30,1056,1149,964,1094,1004,1037,980,909,1024,971,1086,1047,1075,1104,1095,1059,1088,1084,1619,1154,1184,1218,67,4.1,1246.35,465,488,1507,1514,1048,957,1062,1048,1031,1102,0.3627,4.1964,-1.1789,55.7274,-42.376,5.5622,1.7196,31.17,27.172
2020-09-30,1069,1151,972,1101,1025,1044,987,886,1027,979,1086,1054,1079,1111,1103,1059,1091,1092,1624,1161,1180,1225,66.5,5.3,1288.89,470,494,1521,1523,1057,997,1071,1042,1041,1110,1.0917,3.2038,0.0725,53.7203,-22.1228,7.757,8.3726,44.566,41.465
2020-12-31,1051,1155,986,1106,1039,1046,1010,890,1054,979,1090,1059,1080,1114,1103,1062,1094,1093,1634,1162,1186,1230,66.8,4.8,1316.14,490,513,1547,1532,1042,919,1056,1039,1022,1119,1.3578,1.8185,-0.8064,49.2226,0.5381,8.8464,6.3312,59.943,56.961
2021-03-31,1057,1173,979,1116,1029,1053,1049,872,1044,996,1100,1068,1090,1126,1113,1070,1105,1102,1644,1186,1200,1235,67.1,4.6,1329.84,495,517,1563,1547,1046,916,1049,1041,1042,1128,5.6043,7.788,2.1585,63.8402,56.1197,20.113,26.5849,14.397,14.797
2021-06-30,1073,1175,1011,1137,1041,1059,1072,848,1051,996,1110,1082,1102,1137,1124,1083,1116,1114,1692,1222,1231,1244,67.6,4,1360.62,500,515,1581,1561,1077,1049,1066,1053,1038,1151,5.0837,5.4037,0.5221,59.7866,114.6013,5.7375,9.1968,31.625,30.886
2021-09-30,1102,1180,1012,1167,1055,1064,1117,839,1081,1002,1124,1106,1122,1154,1146,1102,1136,1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639,1572,1099,1090,1105,1072,1052,1161,NA,NA,NA,NA,NA,NA,NA,NA,NA
